Time,Temp,Humidity
2023-12-16 17:57:00,74.3699,38.4946
2023-12-16 17:58:00,74.4085,38.4641
2023-12-16 17:59:00,74.4278,38.4641
2023-12-16 18:00:00,74.4471,38.4641
2023-12-16 18:01:00,74.4664,38.4031
2023-12-16 18:02:00,74.5050,38.3726
2023-12-16 18:03:00,74.5243,38.3420
2023-12-16 18:04:00,74.5436,38.2810
2023-12-16 18:05:00,74.5822,38.2505
2023-12-16 18:06:00,74.6015,38.1895
2023-12-16 18:07:00,74.6208,38.1284
2023-12-16 18:08:00,74.6594,38.0979
2023-12-16 18:09:00,74.6787,38.0063
2023-12-16 18:10:00,74.6981,37.9758
2023-12-16 18:11:00,74.7174,37.9453
2023-12-16 18:12:00,74.7560,37.8538
2023-12-16 18:13:00,74.7753,37.7927
2023-12-16 18:14:00,74.8139,37.7622
2023-12-16 18:15:00,74.8332,37.7012
2023-12-16 18:16:00,74.8525,37.6401
2023-12-16 18:17:00,74.8718,37.5791
2023-12-16 18:18:00,74.8911,37.4875
2023-12-16 18:19:00,74.9104,37.4265
2023-12-16 18:20:00,74.9297,37.3655
2023-12-16 18:21:00,74.9490,37.2739
2023-12-16 18:22:00,74.9683,37.2434
2023-12-16 18:23:00,74.9876,37.1824
2023-12-16 18:24:00,75.0069,37.1213
2023-12-16 18:25:00,75.0262,37.1213
2023-12-16 18:26:00,75.0262,37.0908
2023-12-16 18:27:00,75.0455,37.0908
2023-12-16 18:28:00,75.0842,37.0603
2023-12-16 18:29:00,75.1035,37.0603
2023-12-16 18:30:00,75.1228,37.0603
2023-12-16 18:31:00,75.1228,37.0298
2023-12-16 18:32:00,75.1421,37.0298
2023-12-16 18:33:00,75.1614,36.9993
2023-12-16 18:34:00,75.1807,36.9688
2023-12-16 18:35:00,75.2000,36.9688
2023-12-16 18:36:00,75.2193,36.9382
2023-12-16 18:37:00,75.2386,36.9382
2023-12-16 18:38:00,75.2579,36.8772
2023-12-16 18:39:00,75.2772,36.8467
2023-12-16 18:40:00,75.2965,36.8162
2023-12-16 18:41:00,75.3158,36.7856
2023-12-16 18:42:00,75.3351,36.7551
2023-12-16 18:43:00,75.3544,36.7551
2023-12-16 18:44:00,75.3737,36.7246
2023-12-16 18:45:00,75.3930,36.6941
2023-12-16 18:46:00,75.4123,36.6331
2023-12-16 18:47:00,75.4317,36.5720
2023-12-16 18:48:00,75.4510,36.5415
2023-12-16 18:49:00,75.4703,36.5110
2023-12-16 18:50:00,75.4703,36.4805
2023-12-16 18:51:00,75.5089,36.4194
2023-12-16 18:52:00,75.5282,36.3584
2023-12-16 18:53:00,75.5282,36.3279
2023-12-16 18:54:00,75.5668,36.2668
2023-12-16 18:55:00,75.5668,36.2058
2023-12-16 18:56:00,75.5861,36.1448
2023-12-16 18:57:00,75.6054,36.1143
2023-12-16 18:58:00,75.6247,36.0837
2023-12-16 18:59:00,75.6440,35.9922
2023-12-16 19:00:00,75.6633,35.9617
2023-12-16 19:01:00,75.6826,35.9006
2023-12-16 19:02:00,75.7019,35.8701
2023-12-16 19:03:00,75.7212,35.8091
2023-12-16 19:04:00,75.7405,35.7786
2023-12-16 19:05:00,75.7598,35.7175
2023-12-16 19:06:00,75.7791,35.6870
2023-12-16 19:07:00,75.7791,35.5955
2023-12-16 19:08:00,75.7791,35.5344
2023-12-16 19:09:00,75.7984,35.4734
2023-12-16 19:10:00,75.8178,35.4429
2023-12-16 19:11:00,75.8371,35.3818
2023-12-16 19:12:00,75.8564,35.3208
2023-12-16 19:13:00,75.8757,35.2903
2023-12-16 19:14:00,75.8950,35.1987
2023-12-16 19:15:00,75.9143,35.1682
2023-12-16 19:16:00,75.9143,35.1072
2023-12-16 19:17:00,75.9336,35.0461
2023-12-16 19:18:00,75.9529,35.0461
2023-12-16 19:19:00,75.9722,34.9851
2023-12-16 19:20:00,76.0108,34.8936
2023-12-16 19:21:00,76.0108,34.8630
2023-12-16 19:22:00,76.0301,34.8325
2023-12-16 19:23:00,76.0494,34.7715
2023-12-16 19:24:00,76.0494,34.7104
2023-12-16 19:25:00,76.0687,34.6494
2023-12-16 19:26:00,76.0880,34.5884
2023-12-16 19:27:00,76.1073,34.5273
2023-12-16 19:28:00,76.1073,34.4663
2023-12-16 19:29:00,76.1266,34.4358
2023-12-16 19:30:00,76.1459,34.4358
2023-12-16 19:31:00,76.1653,34.4053
2023-12-16 19:32:00,76.1846,34.3748
2023-12-16 19:33:00,76.2232,34.3748
2023-12-16 19:34:00,76.2232,34.3748
2023-12-16 19:35:00,76.2618,34.3442
2023-12-16 19:36:00,76.2618,34.3137
2023-12-16 19:37:00,76.3004,34.3137
2023-12-16 19:38:00,76.3004,34.3137
2023-12-16 19:39:00,76.3197,34.2832
2023-12-16 19:40:00,76.3390,34.2527
2023-12-16 19:41:00,76.3583,34.2527
2023-12-16 19:42:00,76.3776,34.1917
2023-12-16 19:43:00,76.3969,34.1917
2023-12-16 19:44:00,76.3969,34.1306
2023-12-16 19:45:00,76.4162,34.1001
2023-12-16 19:46:00,76.4355,34.0696
2023-12-16 19:47:00,76.4355,33.9780
2023-12-16 19:48:00,76.4548,33.9170
2023-12-16 19:49:00,76.4548,33.8865
2023-12-16 19:50:00,76.4741,33.8560
2023-12-16 19:51:00,76.4934,33.7644
2023-12-16 19:52:00,76.4934,33.7034
2023-12-16 19:53:00,76.5127,33.6729
2023-12-16 19:54:00,76.5320,33.6118
2023-12-16 19:55:00,76.5320,33.5508
2023-12-16 19:56:00,76.5513,33.4592
2023-12-16 19:57:00,76.5707,33.4592
2023-12-16 19:58:00,76.5707,33.4287
2023-12-16 19:59:00,76.5900,33.3982
2023-12-16 20:00:00,76.5900,33.3372
2023-12-16 20:01:00,76.6093,33.2761
2023-12-16 20:02:00,76.6093,33.1846
2023-12-16 20:03:00,76.6093,33.1235
2023-12-16 20:04:00,76.6286,33.1235
2023-12-16 20:05:00,76.6286,33.0930
2023-12-16 20:06:00,76.6286,33.0625
2023-12-16 20:07:00,76.6479,33.0625
2023-12-16 20:08:00,76.6479,33.0625
2023-12-16 20:09:00,76.6865,33.0015
2023-12-16 20:10:00,76.6865,33.0015
2023-12-16 20:11:00,76.7058,32.9709
2023-12-16 20:12:00,76.7251,32.9709
2023-12-16 20:13:00,76.7444,32.9404
2023-12-16 20:14:00,76.7637,32.9404
2023-12-16 20:15:00,76.7637,32.8794
2023-12-16 20:16:00,76.7830,32.8794
2023-12-16 20:17:00,76.8023,32.8794
2023-12-16 20:18:00,76.8216,32.8489
2023-12-16 20:19:00,76.8216,32.8489
2023-12-16 20:20:00,76.8409,32.8184
2023-12-16 20:21:00,76.8409,32.8184
2023-12-16 20:22:00,76.8602,32.7573
2023-12-16 20:23:00,76.8602,32.7573
2023-12-16 20:24:00,76.8602,32.7573
2023-12-16 20:25:00,76.8795,32.7268
2023-12-16 20:26:00,76.8795,32.7268
2023-12-16 20:27:00,76.8795,32.6963
2023-12-16 20:28:00,76.8988,32.6963
2023-12-16 20:29:00,76.8988,32.6658
2023-12-16 20:30:00,76.8795,32.6047
2023-12-16 20:31:00,76.8795,32.6047
2023-12-16 20:32:00,76.8795,32.5742
2023-12-16 20:33:00,76.8602,32.5742
2023-12-16 20:34:00,76.8602,32.5742
2023-12-16 20:35:00,76.8602,32.5742
2023-12-16 20:36:00,76.8409,32.5437
2023-12-16 20:37:00,76.8216,32.4827
2023-12-16 20:38:00,76.8023,32.4827
2023-12-16 20:39:00,76.7830,32.4827
2023-12-16 20:40:00,76.7637,32.4827
